1,省份,运营商,CDN节点名称（机房）,带宽（M）,可用带宽（M）,保底（M）,备注


46,内蒙古省,电信,内蒙古电信呼市云计算内蒙古信息园,10000,10000,4000,撤点


47,内蒙古省,移动,内蒙古移动金川IDC机房,5000,5000,1000,


48,江苏省,电信,江苏电信苏州科技城机房,10000,3000,0,撤点


49,江苏省,移动,江苏移动南京徐庄机房,20000,20000,4000,


50,江苏省,联通,江苏联通徐州下淀路机房,20000,20000,0,


51,江苏省,电信,江苏电信镇江电力路机房,30000,30000,6000,


52,江苏省,移动,江苏移动无锡IDC机房,10000,10000,2000,


53,江苏省,移动,江苏移动常州第三机房,20000,20000,0,


54,江苏省,移动,江苏移动淮安承德路中心机房,10000,10000,2000,


55,江苏省,电信,江苏电信徐州新城区数据中心机房,30000,30000,12000,


56,江苏省,电信,江苏电信徐州新城区数据中心机房,10000,10000,4000,OTT


57,浙江省,电信,浙江电信温州十分局机房,30000,30000,12000,


58,浙江省,电信,浙江电信温州乐清机房,10000,10000,4000,


59,浙江省,,浙江联通杭州滨江路机房,,,,


60,浙江省,,浙江电信杭州萧山回澜路机房,,,,


61,浙江省,,浙江电信杭州萧山回澜路机房(单电信),,,,


62,浙江省,,浙江电信杭州萧山回澜路机房(单联通),,,,


63,浙江省,,浙江电信杭州萧山回澜路机房(单移动),,,,


64,浙江省,,浙江电信杭州萧山回澜路机房（双线）,,,,


65,浙江省,,浙江电信杭州红山机房,,,,


66,浙江省,,浙江电信杭州红山机房（联通）,,,,


67,浙江省,,浙江电信杭州红山机房（移动）,,,,


68,浙江省,移动,温州移动杨府山IDC机房,40000,40000,4000,


69,浙江省,电信,浙江省舟山市电信城东IDC机房,10000,10000,4000,撤点


70,浙江省,联通,浙江联通湖州太湖路机房,10000,10000,1000,


71,浙江省,联通,浙江联通舟山临城新大楼IDC机房,10000,10000,3000,


72,浙江省,移动,浙江移动湖州二环西路机房,20000,20000,4000,


73,浙江省,移动,浙江移动台州中心大道机房,10000,10000,2000,


74,安徽省,移动,安徽移动淮南机房,20000,20000,2000,


75,安徽省,移动,安徽移动合肥金桂路IDC机房,10000,10000,2000,


76,安徽省,电信,安徽电信蚌埠胜利路机房,10000,10000,4000,


77,安徽省,电信,安徽电信宿州市小隅口机房 ,20000,20000,6000,


78,安徽省,联通,安徽联通芜湖新区机房,1000,1000,0,


79,安徽省,电信,安徽电信铜陵长江路机房,10000,10000,4000,


80,福建省,电信,福建电信福州青洲机房,10000,10000,5000,


81,福建省,电信,福建电信厦门软件园机房,10000,10000,5000,撤点


82,福建省,移动,福建移动泉州圣湖机房,20000,20000,2000,


83,江西省,移动,江西移动南昌白水湖IDC机房,20000,20000,3000,


84,江西省,移动,江西移动南昌白水湖IDC机房,10000,10000,1500,


85,江西省,电信,江西电信九江IDC机房,10000,10000,4000,


86,江西省,电信,江西电信九江IDC机房,20000,20000,8000,


87,江西省,电信,江西电信吉安大桥西路机房,20000,20000,4000,


88,山东省,联通,山东联通东营市机房,20000,20000,8000,


